Accomack County, Virginia January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,34.02,-7.71
200802,34.84,-6.87
200803,35.16,-6.57
200804,35.66,-6.09
200805,40.25,-1.50
200806,41.26,-0.50
200807,42.64,0.84
200808,41.08,-0.75
200809,43.15,1.30
200810,40.10,-1.73
200811,44.59,2.79
200812,44.92,3.12
200901,44.98,3.25
200902,41.86,0.15
200903,44.18,2.45
200904,43.11,1.36
200905,40.44,-1.31
200906,40.58,-1.18
200907,41.07,-0.73
200908,44.61,2.78
200909,47.14,5.29
200910,50.27,8.44
200911,52.26,10.46
200912,55.34,13.54
201001,56.54,14.81
201002,60.19,18.48
201003,62.93,21.20
201004,60.25,18.50
201005,59.17,17.42
201006,55.46,13.70
201007,52.81,11.01
201008,52.79,10.96
201009,50.60,8.75
201010,51.34,9.51
201011,44.59,2.79
201012,38.83,-2.97
201101,38.80,-2.93
201102,36.37,-5.34
201103,32.59,-9.14
201104,33.49,-8.26
201105,32.24,-9.51
201106,37.00,-4.76
201107,38.98,-2.82
201108,41.98,0.15
201109,41.65,-0.20
201110,39.94,-1.89
201111,41.91,0.11
201112,40.85,-0.95
201201,40.11,-1.62
201202,42.78,1.07
201203,41.63,-0.10
201204,43.26,1.51
201205,45.27,3.52
201206,42.18,0.42
201207,42.69,0.89
201208,41.84,0.01
201209,42.21,0.36
201210,48.97,7.14
201211,46.86,5.06
201212,49.68,7.88
201301,51.32,9.59
201302,51.86,10.15
201303,54.68,12.95
201304,55.04,13.29
201305,53.51,11.76
201306,55.85,14.09
201307,56.37,14.57
201308,51.92,10.09
201309,49.57,7.72
201310,43.66,1.83
201311,45.52,3.72
201312,47.18,5.38
201401,46.16,4.43
201402,44.16,2.45
201403,42.59,0.86
201404,43.06,1.31
201405,46.34,4.59
201406,42.38,0.62
201407,41.20,-0.60
201408,41.81,-0.02
201409,45.42,3.57
201410,43.11,1.28
201411,44.38,2.58
201412,41.92,0.12
201501,43.65,1.92
201502,43.70,1.99
201503,43.48,1.75
201504,44.14,2.39
201505,41.83,0.08
201506,45.23,3.47
201507,46.50,4.70
201508,45.47,3.64
201509,44.14,2.29
201510,46.25,4.42
201511,46.31,4.51
201512,46.71,4.91
201601,45.64,3.91
201602,47.99,6.28
201603,46.94,5.21
201604,44.06,2.31
201605,48.97,7.22
201606,49.45,7.69
201607,50.22,8.42
201608,49.27,7.44
201609,56.46,14.61
201610,59.16,17.33
201611,56.59,14.79
201612,56.11,14.31
201701,57.22,15.49
201702,53.49,11.78
201703,55.04,13.31
201704,55.35,13.60
201705,54.69,12.94
201706,50.94,9.18
201707,50.67,8.87
201708,59.08,17.25
201709,50.78,8.93
201710,49.39,7.56
201711,49.27,7.47
201712,47.94,6.14
201801,47.25,5.52
201802,47.75,6.04
201803,47.50,5.77
201804,47.21,5.46
201805,46.29,4.54
201806,49.26,7.50
201807,50.02,8.22
201808,42.18,0.35
201809,46.41,4.56
201810,45.39,3.56
201811,49.75,7.95
201812,51.95,10.15
201901,52.09,10.36
201902,54.39,12.68
201903,54.70,12.97
201904,57.10,15.35
201905,53.84,12.09
201906,52.09,10.33
201907,53.45,11.65
201908,52.84,11.01
201909,47.69,5.84
201910,50.27,8.44
201911,47.11,5.31
201912,45.89,4.09
202001,45.40,3.67
202002,46.60,4.89
202003,46.76,5.03
202004,46.22,4.47
202005,46.14,4.39
202006,45.80,4.04
202007,42.50,0.70
202008,47.87,6.04
202009,51.19,9.34
202010,49.14,7.31
202011,52.43,10.63
202012,55.07,13.27
202101,54.74,13.01
202102,55.30,13.59
202103,54.10,12.37
202104,52.21,10.46
202105,51.49,9.74
202106,52.51,10.75
202107,53.93,12.13
202108,52.47,10.64
202109,49.71,7.86
202110,47.90,6.07
202111,43.30,1.50
202112,39.43,-2.37
202201,41.31,-0.42
202202,36.59,-5.12
202203,39.53,-2.20
202204,40.56,-1.19
202205,42.40,0.65
202206,41.85,0.09
202207,39.28,-2.52
202208,35.47,-6.36
202209,34.87,-6.98
202210,36.70,-5.13
202211,38.63,-3.17
202212,40.56,-1.24
