Accomack County, Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,58.1,1.5
200802,58.8,2.2
200803,58.9,2.3
200804,59.2,2.6
200805,59.1,2.5
200806,59.4,2.8
200807,59.4,2.8
200808,59.2,2.6
200809,59.2,2.6
200810,58.5,1.9
200811,58.4,1.8
200812,58.5,1.9
200901,58.1,1.5
200902,57.9,1.3
200903,57.6,1.0
200904,57.6,1.0
200905,57.8,1.2
200906,57.5,0.9
200907,57.4,0.8
200908,57.7,1.1
200909,57.5,0.9
200910,57.7,1.1
200911,58.1,1.5
200912,57.8,1.2
201001,57.9,1.3
201002,57.4,0.8
201003,57.6,1.0
201004,57.8,1.2
201005,58.0,1.4
201006,58.4,1.8
201007,58.9,2.3
201008,58.8,2.2
201009,59.1,2.5
201010,59.2,2.6
201011,59.0,2.4
201012,58.3,1.7
201101,58.2,1.6
201102,58.8,2.2
201103,58.7,2.1
201104,58.7,2.1
201105,58.7,2.1
201106,58.4,1.8
201107,58.4,1.8
201108,58.3,1.7
201109,58.2,1.6
201110,58.1,1.5
201111,58.4,1.8
201112,59.5,2.9
201201,60.2,3.6
201202,60.4,3.8
201203,61.1,4.5
201204,60.8,4.2
201205,60.9,4.3
201206,60.7,4.1
201207,60.9,4.3
201208,60.9,4.3
201209,60.7,4.1
201210,60.9,4.3
201211,60.4,3.8
201212,60.4,3.8
201301,60.1,3.5
201302,59.8,3.2
201303,58.7,2.1
201304,58.6,2.0
201305,58.3,1.7
201306,58.4,1.8
201307,58.1,1.5
201308,57.9,1.3
201309,57.7,1.1
201310,57.7,1.1
201311,57.8,1.2
201312,57.5,0.9
201401,57.0,0.4
201402,57.0,0.4
201403,57.0,0.4
201404,56.9,0.3
201405,57.1,0.5
201406,57.1,0.5
201407,56.9,0.3
201408,56.9,0.3
201409,57.1,0.5
201410,57.2,0.6
201411,57.1,0.5
201412,57.1,0.5
201501,57.2,0.6
201502,56.5,-0.1
201503,56.5,-0.1
201504,56.6,0.0
201505,56.6,0.0
201506,56.8,0.2
201507,56.9,0.3
201508,57.0,0.4
201509,57.2,0.6
201510,56.9,0.3
201511,57.6,1.0
201512,58.4,1.8
201601,58.5,1.9
201602,59.6,3.0
201603,60.3,3.7
201604,60.2,3.6
201605,59.8,3.2
201606,59.6,3.0
201607,59.8,3.2
201608,60.2,3.6
201609,60.2,3.6
201610,60.6,4.0
201611,60.2,3.6
201612,59.3,2.7
201701,59.7,3.1
201702,60.1,3.5
201703,59.7,3.1
201704,60.3,3.7
201705,60.4,3.8
201706,60.5,3.9
201707,60.4,3.8
201708,60.0,3.4
201709,59.8,3.2
201710,59.8,3.2
201711,59.8,3.2
201712,59.6,3.0
201801,59.0,2.4
201802,59.0,2.4
201803,58.7,2.1
201804,58.0,1.4
201805,58.4,1.8
201806,58.5,1.9
201807,58.3,1.7
201808,58.6,2.0
201809,59.0,2.4
201810,58.8,2.2
201811,58.8,2.2
201812,59.1,2.5
201901,59.4,2.8
201902,59.1,2.5
201903,59.3,2.7
201904,59.9,3.3
201905,59.9,3.3
201906,59.9,3.3
201907,60.2,3.6
201908,60.1,3.5
201909,59.8,3.2
201910,60.0,3.4
201911,59.8,3.2
201912,59.8,3.2
202001,60.2,3.6
202002,60.4,3.8
202003,60.9,4.3
202004,60.5,3.9
202005,59.8,3.2
202006,59.7,3.1
202007,59.8,3.2
202008,59.9,3.3
202009,59.7,3.1
202010,59.6,3.0
202011,60.3,3.7
202012,60.1,3.5
202101,59.8,3.2
202102,59.3,2.7
202103,59.1,2.5
202104,59.3,2.7
202105,59.5,2.9
202106,59.5,2.9
202107,59.2,2.6
202108,59.2,2.6
202109,59.4,2.8
202110,59.6,3.0
202111,59.1,2.5
202112,59.5,2.9
202201,59.2,2.6
202202,59.5,2.9
202203,59.6,3.0
202204,59.5,2.9
202205,59.7,3.1
202206,59.6,3.0
202207,59.7,3.1
202208,59.7,3.1
202209,59.7,3.1
202210,59.1,2.5
202211,59.5,2.9
202212,58.9,2.3
