Fauquier County, Virginia January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,28.92,-11.21
200802,28.79,-11.32
200803,28.20,-11.92
200804,30.40,-9.74
200805,36.17,-3.98
200806,38.13,-2.03
200807,39.55,-0.60
200808,38.57,-1.60
200809,41.98,1.80
200810,39.61,-0.55
200811,40.02,-0.13
200812,40.34,0.18
200901,41.50,1.37
200902,39.48,-0.63
200903,39.46,-0.66
200904,38.26,-1.88
200905,38.04,-2.11
200906,38.26,-1.90
200907,37.37,-2.78
200908,38.80,-1.37
200909,36.37,-3.81
200910,39.16,-1.00
200911,41.15,1.00
200912,43.53,3.37
201001,44.37,4.24
201002,47.04,6.93
201003,49.24,9.12
201004,46.74,6.60
201005,44.10,3.95
201006,40.70,0.54
201007,41.56,1.41
201008,42.36,2.19
201009,44.12,3.94
201010,44.50,4.34
201011,43.49,3.34
201012,40.06,-0.10
201101,38.78,-1.35
201102,37.44,-2.67
201103,38.03,-2.09
201104,42.87,2.73
201105,42.53,2.38
201106,43.09,2.93
201107,41.49,1.34
201108,40.40,0.23
201109,43.53,3.35
201110,44.34,4.18
201111,44.18,4.03
201112,45.54,5.38
201201,45.60,5.47
201202,45.37,5.26
201203,42.11,1.99
201204,37.39,-2.75
201205,37.80,-2.35
201206,38.59,-1.57
201207,40.46,0.31
201208,41.15,0.98
201209,37.68,-2.50
201210,38.63,-1.53
201211,36.94,-3.21
201212,36.45,-3.71
201301,38.94,-1.19
201302,39.04,-1.07
201303,40.61,0.49
201304,40.90,0.76
201305,40.12,-0.03
201306,43.61,3.45
201307,44.51,4.36
201308,44.10,3.93
201309,41.55,1.37
201310,41.04,0.88
201311,42.19,2.04
201312,44.66,4.50
201401,42.45,2.32
201402,44.03,3.92
201403,43.93,3.81
201404,46.60,6.46
201405,48.50,8.35
201406,46.08,5.92
201407,44.70,4.55
201408,44.68,4.51
201409,45.72,5.54
201410,43.83,3.67
201411,44.12,3.97
201412,41.97,1.81
201501,42.81,2.68
201502,41.03,0.92
201503,40.46,0.34
201504,39.28,-0.86
201505,35.89,-4.26
201506,39.33,-0.83
201507,41.01,0.86
201508,40.03,-0.14
201509,42.18,2.00
201510,42.99,2.83
201511,43.02,2.87
201512,43.80,3.64
201601,44.43,4.30
201602,46.63,6.52
201603,45.24,5.12
201604,43.33,3.19
201605,47.52,7.37
201606,44.51,4.35
201607,44.72,4.57
201608,45.19,5.02
201609,46.26,6.08
201610,42.90,2.74
201611,41.44,1.29
201612,40.55,0.39
201701,40.40,0.27
201702,37.33,-2.78
201703,38.40,-1.72
201704,40.27,0.13
201705,41.69,1.54
201706,38.61,-1.55
201707,40.62,0.47
201708,41.79,1.62
201709,38.09,-2.09
201710,40.44,0.28
201711,40.95,0.80
201712,38.36,-1.80
201801,36.97,-3.16
201802,40.92,0.81
201803,40.14,0.02
201804,40.52,0.38
201805,40.72,0.57
201806,48.35,8.19
201807,49.16,9.01
201808,51.21,11.04
201809,58.20,18.02
201810,57.76,17.60
201811,62.59,22.44
201812,67.65,27.49
201901,68.79,28.66
201902,67.56,27.45
201903,69.69,29.57
201904,69.10,28.96
201905,66.12,25.97
201906,60.66,20.50
201907,56.76,16.61
201908,54.24,14.07
201909,46.33,6.15
201910,47.86,7.70
201911,43.43,3.28
201912,40.59,0.43
202001,40.97,0.84
202002,40.40,0.29
202003,38.43,-1.69
202004,39.64,-0.50
202005,37.82,-2.33
202006,38.93,-1.23
202007,38.82,-1.33
202008,43.52,3.35
202009,47.40,7.22
202010,46.59,6.43
202011,48.28,8.13
202012,50.72,10.56
202101,48.90,8.77
202102,49.35,9.24
202103,49.28,9.16
202104,47.51,7.37
202105,46.52,6.37
202106,46.22,6.06
202107,45.37,5.22
202108,42.47,2.30
202109,43.05,2.87
202110,43.16,3.00
202111,40.67,0.52
202112,35.97,-4.19
202201,37.48,-2.65
202202,35.94,-4.17
202203,35.92,-4.20
202204,36.24,-3.90
202205,40.25,0.10
202206,40.26,0.10
202207,42.47,2.32
202208,39.93,-0.24
202209,37.40,-2.78
202210,35.88,-4.28
202211,37.84,-2.31
202212,41.71,1.55
