Greensville County, Virginia January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,31.85,-12.86
200802,33.32,-11.35
200803,34.42,-10.24
200804,38.14,-6.54
200805,38.66,-6.03
200806,37.75,-6.95
200807,38.69,-6.05
200808,37.59,-7.19
200809,41.33,-3.47
200810,37.87,-6.91
200811,40.64,-4.11
200812,39.92,-4.82
200901,41.00,-3.71
200902,38.16,-6.51
200903,42.23,-2.43
200904,36.51,-8.17
200905,38.19,-6.50
200906,40.15,-4.55
200907,40.60,-4.14
200908,42.96,-1.82
200909,42.05,-2.75
200910,42.55,-2.23
200911,48.36,3.61
200912,51.55,6.81
201001,53.75,9.04
201002,56.09,11.42
201003,52.94,8.28
201004,52.81,8.13
201005,53.96,9.27
201006,51.43,6.73
201007,49.41,4.67
201008,48.37,3.59
201009,51.88,7.08
201010,54.13,9.35
201011,46.09,1.34
201012,43.01,-1.73
201101,40.21,-4.50
201102,38.44,-6.23
201103,38.83,-5.83
201104,39.73,-4.95
201105,35.90,-8.79
201106,35.93,-8.77
201107,38.43,-6.31
201108,46.59,1.81
201109,43.45,-1.35
201110,42.60,-2.18
201111,45.54,0.79
201112,43.38,-1.36
201201,43.50,-1.21
201202,45.02,0.35
201203,42.81,-1.85
201204,43.64,-1.04
201205,46.04,1.35
201206,47.50,2.80
201207,47.91,3.17
201208,47.99,3.21
201209,48.29,3.49
201210,49.34,4.56
201211,45.86,1.11
201212,47.31,2.57
201301,50.62,5.91
201302,51.82,7.15
201303,51.86,7.20
201304,52.66,7.98
201305,51.40,6.71
201306,59.11,14.41
201307,59.46,14.72
201308,51.62,6.84
201309,49.38,4.58
201310,48.18,3.40
201311,50.84,6.09
201312,54.03,9.29
201401,52.47,7.76
201402,51.97,7.30
201403,54.13,9.47
201404,56.98,12.30
201405,57.25,12.56
201406,49.82,5.12
201407,48.82,4.08
201408,49.99,5.21
201409,55.59,10.79
201410,55.99,11.21
201411,56.75,12.00
201412,54.07,9.33
201501,54.14,9.43
201502,54.45,9.78
201503,53.87,9.21
201504,50.07,5.39
201505,48.61,3.92
201506,53.13,8.43
201507,54.13,9.39
201508,51.91,7.13
201509,49.82,5.02
201510,52.22,7.44
201511,53.58,8.83
201512,54.32,9.58
201601,53.14,8.43
201602,54.97,10.30
201603,53.94,9.28
201604,54.33,9.65
201605,58.44,13.75
201606,56.51,11.81
201607,55.79,11.05
201608,55.03,10.25
201609,56.71,11.91
201610,57.25,12.47
201611,53.03,8.28
201612,50.65,5.91
201701,51.85,7.14
201702,46.92,2.25
201703,46.74,2.08
201704,48.44,3.76
201705,47.59,2.90
201706,46.01,1.31
201707,44.97,0.23
201708,48.89,4.11
201709,43.12,-1.68
201710,40.72,-4.06
201711,41.71,-3.04
201712,41.57,-3.17
201801,42.90,-1.81
201802,44.00,-0.67
201803,44.65,-0.01
201804,43.65,-1.03
201805,43.42,-1.27
201806,43.95,-0.75
201807,46.41,1.67
201808,46.81,2.03
201809,50.06,5.26
201810,50.63,5.85
201811,55.02,10.27
201812,57.50,12.76
201901,56.74,12.03
201902,60.46,15.79
201903,60.73,16.07
201904,60.91,16.23
201905,57.50,12.81
201906,60.46,15.76
201907,58.91,14.17
201908,56.00,11.22
201909,52.94,8.14
201910,53.60,8.82
201911,51.07,6.32
201912,50.77,6.03
202001,50.54,5.83
202002,50.73,6.06
202003,49.35,4.69
202004,48.76,4.08
202005,52.17,7.48
202006,48.83,4.13
202007,46.55,1.81
202008,53.29,8.51
202009,61.54,16.74
202010,60.78,16.00
202011,63.50,18.75
202012,64.40,19.66
202101,64.79,20.08
202102,67.22,22.55
202103,68.33,23.67
202104,67.12,22.44
202105,63.66,18.97
202106,62.83,18.13
202107,65.58,20.84
202108,61.79,17.01
202109,54.82,10.02
202110,53.15,8.37
202111,47.31,2.56
202112,43.81,-0.93
202201,45.57,0.86
202202,39.45,-5.22
202203,40.00,-4.66
202204,40.09,-4.59
202205,41.96,-2.73
202206,40.78,-3.92
202207,39.20,-5.54
202208,35.63,-9.15
202209,33.92,-10.88
202210,35.45,-9.33
202211,39.04,-5.71
202212,41.00,-3.74
