Greensville County, Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,59.7,1.7
200802,60.4,2.4
200803,60.3,2.3
200804,60.4,2.4
200805,60.3,2.3
200806,60.6,2.6
200807,60.6,2.6
200808,60.3,2.3
200809,60.2,2.2
200810,59.5,1.5
200811,59.3,1.3
200812,59.2,1.2
200901,59.0,1.0
200902,58.7,0.7
200903,58.4,0.4
200904,58.5,0.5
200905,58.8,0.8
200906,58.5,0.5
200907,58.4,0.4
200908,58.6,0.6
200909,58.5,0.5
200910,58.5,0.5
200911,58.9,0.9
200912,58.5,0.5
201001,58.4,0.4
201002,57.9,-0.1
201003,58.1,0.1
201004,58.3,0.3
201005,58.5,0.5
201006,58.8,0.8
201007,59.2,1.2
201008,59.2,1.2
201009,59.6,1.6
201010,59.8,1.8
201011,59.5,1.5
201012,59.0,1.0
201101,59.0,1.0
201102,59.6,1.6
201103,59.5,1.5
201104,59.5,1.5
201105,59.3,1.3
201106,59.1,1.1
201107,59.1,1.1
201108,59.1,1.1
201109,58.9,0.9
201110,58.7,0.7
201111,59.0,1.0
201112,60.1,2.1
201201,60.7,2.7
201202,60.8,2.8
201203,61.5,3.5
201204,61.2,3.2
201205,61.3,3.3
201206,60.9,2.9
201207,61.0,3.0
201208,60.9,2.9
201209,60.7,2.7
201210,60.8,2.8
201211,60.2,2.2
201212,60.2,2.2
201301,60.1,2.1
201302,59.7,1.7
201303,58.5,0.5
201304,58.6,0.6
201305,58.2,0.2
201306,58.5,0.5
201307,58.2,0.2
201308,58.0,0.0
201309,58.0,0.0
201310,58.0,0.0
201311,58.2,0.2
201312,58.0,0.0
201401,57.5,-0.5
201402,57.6,-0.4
201403,57.6,-0.4
201404,57.5,-0.5
201405,57.8,-0.2
201406,57.8,-0.2
201407,57.6,-0.4
201408,57.6,-0.4
201409,57.8,-0.2
201410,57.8,-0.2
201411,57.7,-0.3
201412,57.6,-0.4
201501,57.9,-0.1
201502,57.1,-0.9
201503,57.5,-0.5
201504,57.6,-0.4
201505,57.6,-0.4
201506,57.9,-0.1
201507,58.0,0.0
201508,58.2,0.2
201509,58.3,0.3
201510,58.2,0.2
201511,58.9,0.9
201512,59.7,1.7
201601,59.7,1.7
201602,60.6,2.6
201603,61.2,3.2
201604,61.1,3.1
201605,60.7,2.7
201606,60.4,2.4
201607,60.6,2.6
201608,60.9,2.9
201609,61.0,3.0
201610,61.3,3.3
201611,61.0,3.0
201612,60.1,2.1
201701,60.5,2.5
201702,61.1,3.1
201703,60.6,2.6
201704,61.2,3.2
201705,61.3,3.3
201706,61.4,3.4
201707,61.4,3.4
201708,61.1,3.1
201709,60.9,2.9
201710,60.9,2.9
201711,60.9,2.9
201712,60.7,2.7
201801,60.0,2.0
201802,60.1,2.1
201803,59.7,1.7
201804,59.1,1.1
201805,59.6,1.6
201806,59.8,1.8
201807,59.6,1.6
201808,59.8,1.8
201809,60.2,2.2
201810,60.1,2.1
201811,60.0,2.0
201812,60.2,2.2
201901,60.8,2.8
201902,60.4,2.4
201903,60.6,2.6
201904,61.0,3.0
201905,61.0,3.0
201906,60.8,2.8
201907,61.0,3.0
201908,61.0,3.0
201909,60.8,2.8
201910,61.0,3.0
201911,60.9,2.9
201912,61.0,3.0
202001,61.3,3.3
202002,61.3,3.3
202003,62.0,4.0
202004,61.6,3.6
202005,60.8,2.8
202006,60.7,2.7
202007,60.9,2.9
202008,61.0,3.0
202009,60.5,2.5
202010,60.4,2.4
202011,61.0,3.0
202012,60.8,2.8
202101,60.4,2.4
202102,59.9,1.9
202103,59.6,1.6
202104,59.8,1.8
202105,60.0,2.0
202106,60.0,2.0
202107,59.7,1.7
202108,59.7,1.7
202109,59.8,1.8
202110,60.0,2.0
202111,59.5,1.5
202112,60.1,2.1
202201,59.9,1.9
202202,60.2,2.2
202203,60.3,2.3
202204,60.3,2.3
202205,60.6,2.6
202206,60.6,2.6
202207,60.7,2.7
202208,60.7,2.7
202209,60.7,2.7
202210,60.1,2.1
202211,60.4,2.4
202212,59.8,1.8
