Hanover County, Virginia January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,32.70,-10.32
200802,33.45,-9.54
200803,33.69,-9.31
200804,38.01,-5.01
200805,40.13,-2.90
200806,38.17,-4.87
200807,41.23,-1.84
200808,39.59,-3.51
200809,45.05,1.95
200810,41.75,-1.32
200811,44.50,1.44
200812,45.69,2.63
200901,46.05,3.03
200902,43.53,0.54
200903,44.80,1.80
200904,39.67,-3.35
200905,39.43,-3.60
200906,42.77,-0.27
200907,41.54,-1.53
200908,42.79,-0.31
200909,39.13,-3.97
200910,42.07,-1.00
200911,48.75,5.69
200912,53.14,10.08
201001,55.40,12.38
201002,58.41,15.42
201003,59.97,16.97
201004,59.13,16.11
201005,58.11,15.08
201006,53.81,10.77
201007,52.46,9.39
201008,51.78,8.68
201009,54.82,11.72
201010,54.90,11.83
201011,46.18,3.12
201012,40.15,-2.91
201101,38.24,-4.78
201102,36.20,-6.79
201103,35.18,-7.82
201104,36.29,-6.73
201105,36.90,-6.13
201106,39.52,-3.52
201107,43.17,0.10
201108,45.37,2.27
201109,47.70,4.60
201110,46.67,3.60
201111,48.39,5.33
201112,48.76,5.70
201201,48.60,5.58
201202,50.31,7.32
201203,49.35,6.35
201204,49.74,6.72
201205,50.50,7.47
201206,48.90,5.86
201207,46.72,3.65
201208,43.90,0.80
201209,39.28,-3.82
201210,40.12,-2.95
201211,37.04,-6.02
201212,37.21,-5.85
201301,40.42,-2.60
201302,39.33,-3.66
201303,40.36,-2.64
201304,40.96,-2.06
201305,40.32,-2.71
201306,44.97,1.93
201307,46.92,3.85
201308,50.93,7.83
201309,48.87,5.77
201310,48.36,5.29
201311,51.34,8.28
201312,53.86,10.80
201401,51.62,8.60
201402,52.84,9.85
201403,51.45,8.45
201404,53.92,10.90
201405,53.61,10.58
201406,50.07,7.03
201407,46.48,3.41
201408,44.31,1.21
201409,45.02,1.92
201410,44.00,0.93
201411,43.71,0.65
201412,40.84,-2.22
201501,41.30,-1.72
201502,41.33,-1.66
201503,41.50,-1.50
201504,39.47,-3.55
201505,37.69,-5.34
201506,43.00,-0.04
201507,45.45,2.38
201508,43.08,-0.02
201509,45.71,2.61
201510,47.72,4.65
201511,48.98,5.92
201512,51.54,8.48
201601,51.56,8.54
201602,52.46,9.47
201603,50.09,7.09
201604,48.81,5.79
201605,57.22,14.19
201606,52.82,9.78
201607,52.65,9.58
201608,52.71,9.61
201609,55.52,12.42
201610,54.85,11.78
201611,52.05,8.99
201612,49.44,6.38
201701,50.16,7.14
201702,46.64,3.65
201703,48.61,5.61
201704,49.25,6.23
201705,45.57,2.54
201706,44.98,1.94
201707,44.25,1.18
201708,45.83,2.73
201709,40.81,-2.29
201710,41.33,-1.74
201711,41.61,-1.45
201712,39.54,-3.52
201801,38.30,-4.72
201802,41.19,-1.80
201803,40.60,-2.40
201804,41.26,-1.76
201805,45.31,2.28
201806,48.83,5.79
201807,51.22,8.15
201808,51.15,8.05
201809,55.17,12.07
201810,57.56,14.49
201811,61.92,18.86
201812,64.80,21.74
201901,64.74,21.72
201902,65.78,22.79
201903,66.84,23.84
201904,66.29,23.27
201905,58.54,15.51
201906,56.98,13.94
201907,55.46,12.39
201908,55.31,12.21
201909,49.22,6.12
201910,47.68,4.61
201911,43.40,0.34
201912,42.89,-0.17
202001,43.33,0.31
202002,42.53,-0.46
202003,41.15,-1.85
202004,42.30,-0.72
202005,41.83,-1.20
202006,41.16,-1.88
202007,39.94,-3.13
202008,48.25,5.15
202009,53.93,10.83
202010,55.16,12.09
202011,58.61,15.55
202012,61.45,18.39
202101,61.04,18.02
202102,62.28,19.29
202103,63.84,20.84
202104,61.62,18.60
202105,62.00,18.97
202106,60.20,17.16
202107,61.39,18.32
202108,57.76,14.66
202109,55.17,12.07
202110,52.49,9.42
202111,47.80,4.74
202112,42.88,-0.18
202201,44.72,1.70
202202,41.00,-1.99
202203,41.83,-1.17
202204,41.84,-1.18
202205,43.42,0.39
202206,44.17,1.13
202207,44.59,1.52
202208,39.67,-3.43
202209,38.56,-4.54
202210,37.36,-5.71
202211,40.09,-2.97
202212,43.65,0.59
