Hanover County, Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,58.3,1.7
200802,58.9,2.3
200803,58.8,2.2
200804,59.0,2.4
200805,58.8,2.2
200806,59.0,2.4
200807,59.0,2.4
200808,58.7,2.1
200809,58.7,2.1
200810,58.0,1.4
200811,57.8,1.2
200812,57.8,1.2
200901,57.4,0.8
200902,57.4,0.8
200903,57.1,0.5
200904,57.1,0.5
200905,57.3,0.7
200906,57.1,0.5
200907,56.9,0.3
200908,57.2,0.6
200909,57.0,0.4
200910,57.1,0.5
200911,57.5,0.9
200912,57.0,0.4
201001,57.1,0.5
201002,56.5,-0.1
201003,56.8,0.2
201004,57.1,0.5
201005,57.3,0.7
201006,57.7,1.1
201007,58.3,1.7
201008,58.3,1.7
201009,58.7,2.1
201010,58.8,2.2
201011,58.6,2.0
201012,58.2,1.6
201101,58.1,1.5
201102,58.9,2.3
201103,58.7,2.1
201104,58.7,2.1
201105,58.6,2.0
201106,58.3,1.7
201107,58.2,1.6
201108,58.1,1.5
201109,57.9,1.3
201110,57.7,1.1
201111,58.0,1.4
201112,59.1,2.5
201201,59.7,3.1
201202,59.7,3.1
201203,60.5,3.9
201204,60.1,3.5
201205,60.3,3.7
201206,60.0,3.4
201207,60.1,3.5
201208,60.1,3.5
201209,59.9,3.3
201210,60.0,3.4
201211,59.4,2.8
201212,59.4,2.8
201301,59.3,2.7
201302,58.8,2.2
201303,57.6,1.0
201304,57.6,1.0
201305,57.3,0.7
201306,57.5,0.9
201307,57.2,0.6
201308,56.9,0.3
201309,56.8,0.2
201310,56.9,0.3
201311,57.0,0.4
201312,56.8,0.2
201401,56.1,-0.5
201402,56.1,-0.5
201403,56.2,-0.4
201404,56.1,-0.5
201405,56.3,-0.3
201406,56.3,-0.3
201407,56.2,-0.4
201408,56.1,-0.5
201409,56.3,-0.3
201410,56.4,-0.2
201411,56.3,-0.3
201412,56.3,-0.3
201501,56.5,-0.1
201502,55.8,-0.8
201503,56.0,-0.6
201504,56.1,-0.5
201505,56.2,-0.4
201506,56.4,-0.2
201507,56.4,-0.2
201508,56.5,-0.1
201509,56.6,0.0
201510,56.4,-0.2
201511,57.0,0.4
201512,57.8,1.2
201601,57.8,1.2
201602,58.6,2.0
201603,59.3,2.7
201604,59.2,2.6
201605,58.6,2.0
201606,58.5,1.9
201607,58.6,2.0
201608,59.0,2.4
201609,59.1,2.5
201610,59.4,2.8
201611,59.2,2.6
201612,58.2,1.6
201701,58.7,2.1
201702,59.3,2.7
201703,58.9,2.3
201704,59.4,2.8
201705,59.5,2.9
201706,59.5,2.9
201707,59.6,3.0
201708,59.2,2.6
201709,58.9,2.3
201710,59.0,2.4
201711,58.9,2.3
201712,58.7,2.1
201801,58.2,1.6
201802,58.1,1.5
201803,57.6,1.0
201804,56.9,0.3
201805,57.5,0.9
201806,57.6,1.0
201807,57.4,0.8
201808,57.6,1.0
201809,58.0,1.4
201810,57.9,1.3
201811,57.7,1.1
201812,57.9,1.3
201901,58.2,1.6
201902,57.9,1.3
201903,58.2,1.6
201904,58.8,2.2
201905,58.7,2.1
201906,58.6,2.0
201907,58.9,2.3
201908,58.8,2.2
201909,58.8,2.2
201910,59.0,2.4
201911,59.0,2.4
201912,59.2,2.6
202001,59.5,2.9
202002,59.6,3.0
202003,60.2,3.6
202004,59.7,3.1
202005,59.1,2.5
202006,59.0,2.4
202007,59.2,2.6
202008,59.2,2.6
202009,58.6,2.0
202010,58.5,1.9
202011,59.1,2.5
202012,58.9,2.3
202101,58.6,2.0
202102,58.2,1.6
202103,57.9,1.3
202104,58.1,1.5
202105,58.2,1.6
202106,58.3,1.7
202107,58.1,1.5
202108,58.1,1.5
202109,58.4,1.8
202110,58.7,2.1
202111,58.1,1.5
202112,58.7,2.1
202201,58.4,1.8
202202,58.9,2.3
202203,58.9,2.3
202204,58.9,2.3
202205,59.2,2.6
202206,59.1,2.5
202207,59.2,2.6
202208,59.1,2.5
202209,59.1,2.5
202210,58.4,1.8
202211,58.8,2.2
202212,58.1,1.5
