Rockingham County, Virginia January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,37.07,-1.99
200802,37.01,-2.04
200803,35.94,-3.10
200804,36.56,-2.49
200805,38.95,-0.11
200806,38.24,-0.82
200807,40.39,1.32
200808,37.96,-1.13
200809,38.78,-0.33
200810,36.03,-3.05
200811,36.92,-2.14
200812,37.62,-1.44
200901,38.48,-0.58
200902,36.42,-2.63
200903,35.81,-3.23
200904,35.21,-3.84
200905,37.39,-1.67
200906,38.70,-0.36
200907,36.67,-2.40
200908,36.15,-2.94
200909,36.80,-2.31
200910,38.22,-0.86
200911,40.53,1.47
200912,42.46,3.40
201001,43.97,4.91
201002,46.20,7.15
201003,48.43,9.39
201004,45.63,6.58
201005,42.16,3.10
201006,39.18,0.12
201007,39.07,0.00
201008,38.68,-0.41
201009,38.74,-0.37
201010,38.91,-0.17
201011,36.65,-2.41
201012,33.71,-5.35
201101,31.04,-8.02
201102,30.23,-8.82
201103,30.93,-8.11
201104,37.25,-1.80
201105,40.27,1.21
201106,42.39,3.33
201107,42.11,3.04
201108,44.52,5.43
201109,47.36,8.25
201110,48.45,9.37
201111,49.10,10.04
201112,50.01,10.95
201201,51.18,12.12
201202,50.43,11.38
201203,50.30,11.26
201204,45.55,6.50
201205,43.95,4.89
201206,43.24,4.18
201207,45.08,6.01
201208,45.31,6.22
201209,42.82,3.71
201210,42.75,3.67
201211,40.73,1.67
201212,39.36,0.30
201301,40.73,1.67
201302,40.80,1.75
201303,39.97,0.93
201304,39.87,0.82
201305,38.91,-0.15
201306,41.74,2.68
201307,43.57,4.50
201308,43.03,3.94
201309,40.48,1.37
201310,39.37,0.29
201311,40.94,1.88
201312,45.41,6.35
201401,43.80,4.74
201402,47.11,8.06
201403,45.40,6.36
201404,47.03,7.98
201405,48.15,9.09
201406,46.89,7.83
201407,45.00,5.93
201408,43.49,4.40
201409,43.50,4.39
201410,45.32,6.24
201411,45.78,6.72
201412,41.91,2.85
201501,42.81,3.75
201502,39.23,0.18
201503,39.69,0.65
201504,40.61,1.56
201505,38.72,-0.34
201506,41.52,2.46
201507,40.77,1.70
201508,38.98,-0.11
201509,45.97,6.86
201510,45.26,6.18
201511,44.77,5.71
201512,45.49,6.43
201601,44.44,5.38
201602,47.01,7.96
201603,45.64,6.60
201604,42.35,3.30
201605,45.56,6.50
201606,45.31,6.25
201607,46.33,7.26
201608,48.05,8.96
201609,43.41,4.30
201610,41.58,2.50
201611,40.45,1.39
201612,39.88,0.82
201701,41.48,2.42
201702,38.18,-0.87
201703,39.05,0.01
201704,41.30,2.25
201705,42.87,3.81
201706,39.40,0.34
201707,41.84,2.77
201708,41.63,2.54
201709,39.59,0.48
201710,41.46,2.38
201711,41.31,2.25
201712,38.91,-0.15
201801,37.32,-1.74
201802,41.30,2.25
201803,40.79,1.75
201804,40.58,1.53
201805,40.77,1.71
201806,48.71,9.65
201807,46.29,7.22
201808,50.47,11.38
201809,57.17,18.06
201810,56.72,17.64
201811,60.87,21.81
201812,65.70,26.64
201901,67.26,28.20
201902,66.06,27.01
201903,68.01,28.97
201904,68.29,29.24
201905,64.49,25.43
201906,55.99,16.93
201907,54.99,15.92
201908,51.72,12.63
201909,44.84,5.73
201910,46.36,7.28
201911,42.78,3.72
201912,39.87,0.81
202001,40.02,0.96
202002,39.54,0.49
202003,37.52,-1.52
202004,39.58,0.53
202005,38.83,-0.23
202006,39.23,0.17
202007,39.23,0.16
202008,43.65,4.56
202009,46.51,7.40
202010,45.41,6.33
202011,47.21,8.15
202012,48.92,9.86
202101,47.44,8.38
202102,48.01,8.96
202103,48.24,9.20
202104,45.17,6.12
202105,43.96,4.90
202106,44.66,5.60
202107,43.19,4.12
202108,41.62,2.53
202109,44.40,5.29
202110,44.00,4.92
202111,41.48,2.42
202112,37.58,-1.48
202201,38.73,-0.33
202202,37.86,-1.19
202203,38.18,-0.86
202204,38.60,-0.45
202205,42.02,2.96
202206,42.80,3.74
202207,44.88,5.81
202208,41.13,2.04
202209,36.93,-2.18
202210,35.81,-3.27
202211,39.80,0.74
202212,42.57,3.51
