Rockingham County, Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,52.9,1.3
200802,53.8,2.2
200803,53.6,2.0
200804,53.9,2.3
200805,53.6,2.0
200806,53.7,2.1
200807,53.8,2.2
200808,53.4,1.8
200809,53.2,1.6
200810,52.6,1.0
200811,52.4,0.8
200812,52.3,0.7
200901,52.0,0.4
200902,51.9,0.3
200903,51.9,0.3
200904,51.7,0.1
200905,51.9,0.3
200906,51.7,0.1
200907,51.5,-0.1
200908,51.8,0.2
200909,51.7,0.1
200910,51.7,0.1
200911,52.1,0.5
200912,51.6,0.0
201001,51.7,0.1
201002,50.9,-0.7
201003,51.2,-0.4
201004,51.5,-0.1
201005,51.7,0.1
201006,52.1,0.5
201007,52.7,1.1
201008,52.8,1.2
201009,53.1,1.5
201010,53.4,1.8
201011,53.1,1.5
201012,52.8,1.2
201101,52.7,1.1
201102,53.6,2.0
201103,53.4,1.8
201104,53.3,1.7
201105,53.3,1.7
201106,53.0,1.4
201107,53.1,1.5
201108,53.0,1.4
201109,52.8,1.2
201110,52.6,1.0
201111,52.9,1.3
201112,53.8,2.2
201201,54.4,2.8
201202,54.6,3.0
201203,55.4,3.8
201204,55.3,3.7
201205,55.5,3.9
201206,55.2,3.6
201207,55.3,3.7
201208,55.2,3.6
201209,55.1,3.5
201210,55.2,3.6
201211,54.7,3.1
201212,54.8,3.2
201301,54.8,3.2
201302,54.3,2.7
201303,53.0,1.4
201304,53.1,1.5
201305,52.6,1.0
201306,52.7,1.1
201307,52.5,0.9
201308,52.3,0.7
201309,52.2,0.6
201310,52.3,0.7
201311,52.3,0.7
201312,52.2,0.6
201401,51.3,-0.3
201402,51.4,-0.2
201403,51.3,-0.3
201404,51.2,-0.4
201405,51.4,-0.2
201406,51.4,-0.2
201407,51.2,-0.4
201408,51.2,-0.4
201409,51.3,-0.3
201410,51.4,-0.2
201411,51.2,-0.4
201412,51.2,-0.4
201501,51.5,-0.1
201502,50.8,-0.8
201503,51.2,-0.4
201504,51.3,-0.3
201505,51.5,-0.1
201506,51.5,-0.1
201507,51.7,0.1
201508,51.9,0.3
201509,52.1,0.5
201510,51.9,0.3
201511,52.7,1.1
201512,53.4,1.8
201601,53.3,1.7
201602,54.1,2.5
201603,54.8,3.2
201604,54.8,3.2
201605,54.3,2.7
201606,54.2,2.6
201607,54.4,2.8
201608,54.8,3.2
201609,55.0,3.4
201610,55.3,3.7
201611,55.2,3.6
201612,54.3,2.7
201701,55.0,3.4
201702,55.8,4.2
201703,55.3,3.7
201704,55.6,4.0
201705,55.7,4.1
201706,55.6,4.0
201707,55.6,4.0
201708,55.1,3.5
201709,54.7,3.1
201710,54.8,3.2
201711,54.6,3.0
201712,54.5,2.9
201801,53.9,2.3
201802,53.7,2.1
201803,53.3,1.7
201804,52.7,1.1
201805,53.3,1.7
201806,53.5,1.9
201807,53.4,1.8
201808,53.6,2.0
201809,54.0,2.4
201810,53.8,2.2
201811,53.5,1.9
201812,53.6,2.0
201901,53.8,2.2
201902,53.5,1.9
201903,53.8,2.2
201904,54.3,2.7
201905,54.3,2.7
201906,54.2,2.6
201907,54.4,2.8
201908,54.4,2.8
201909,54.5,2.9
201910,54.6,3.0
201911,54.6,3.0
201912,54.8,3.2
202001,55.3,3.7
202002,55.4,3.8
202003,56.0,4.4
202004,55.6,4.0
202005,54.9,3.3
202006,54.9,3.3
202007,55.0,3.4
202008,55.1,3.5
202009,54.6,3.0
202010,54.5,2.9
202011,55.2,3.6
202012,55.0,3.4
202101,54.7,3.1
202102,54.1,2.5
202103,53.8,2.2
202104,54.0,2.4
202105,54.2,2.6
202106,54.3,2.7
202107,54.1,2.5
202108,54.2,2.6
202109,54.4,2.8
202110,54.7,3.1
202111,54.1,2.5
202112,54.6,3.0
202201,54.2,2.6
202202,54.5,2.9
202203,54.5,2.9
202204,54.4,2.8
202205,54.5,2.9
202206,54.5,2.9
202207,54.5,2.9
202208,54.3,2.7
202209,54.2,2.6
202210,53.5,1.9
202211,53.9,2.3
202212,53.2,1.6
