Wise County, Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,54.1,1.4
200802,54.8,2.1
200803,54.2,1.5
200804,54.5,1.8
200805,54.1,1.4
200806,54.2,1.5
200807,54.2,1.5
200808,53.7,1.0
200809,53.5,0.8
200810,52.9,0.2
200811,52.6,-0.1
200812,52.4,-0.3
200901,52.3,-0.4
200902,52.1,-0.6
200903,52.3,-0.4
200904,52.2,-0.5
200905,52.5,-0.2
200906,52.4,-0.3
200907,52.2,-0.5
200908,52.3,-0.4
200909,52.2,-0.5
200910,52.3,-0.4
200911,52.8,0.1
200912,52.5,-0.2
201001,52.4,-0.3
201002,51.8,-0.9
201003,51.6,-1.1
201004,51.9,-0.8
201005,52.1,-0.6
201006,52.4,-0.3
201007,52.9,0.2
201008,53.1,0.4
201009,53.2,0.5
201010,53.4,0.7
201011,53.2,0.5
201012,52.6,-0.1
201101,52.6,-0.1
201102,53.5,0.8
201103,53.7,1.0
201104,53.7,1.0
201105,53.5,0.8
201106,53.3,0.6
201107,53.3,0.6
201108,53.1,0.4
201109,52.9,0.2
201110,52.8,0.1
201111,52.9,0.2
201112,54.1,1.4
201201,54.7,2.0
201202,54.6,1.9
201203,55.4,2.7
201204,55.2,2.5
201205,55.5,2.8
201206,55.4,2.7
201207,55.4,2.7
201208,55.2,2.5
201209,55.1,2.4
201210,55.1,2.4
201211,54.6,1.9
201212,54.7,2.0
201301,54.6,1.9
201302,54.3,1.6
201303,52.8,0.1
201304,52.7,0.0
201305,52.3,-0.4
201306,52.4,-0.3
201307,52.2,-0.5
201308,52.2,-0.5
201309,52.3,-0.4
201310,52.5,-0.2
201311,52.4,-0.3
201312,52.1,-0.6
201401,51.2,-1.5
201402,51.2,-1.5
201403,51.5,-1.2
201404,51.7,-1.0
201405,51.8,-0.9
201406,51.9,-0.8
201407,51.7,-1.0
201408,51.7,-1.0
201409,51.8,-0.9
201410,51.7,-1.0
201411,51.5,-1.2
201412,51.7,-1.0
201501,52.2,-0.5
201502,51.4,-1.3
201503,51.6,-1.1
201504,51.6,-1.1
201505,51.8,-0.9
201506,51.8,-0.9
201507,52.2,-0.5
201508,52.2,-0.5
201509,52.2,-0.5
201510,52.2,-0.5
201511,53.2,0.5
201512,53.9,1.2
201601,53.8,1.1
201602,54.7,2.0
201603,55.2,2.5
201604,55.2,2.5
201605,54.8,2.1
201606,54.7,2.0
201607,54.9,2.2
201608,55.3,2.6
201609,55.5,2.8
201610,55.7,3.0
201611,55.6,2.9
201612,54.6,1.9
201701,55.5,2.8
201702,56.0,3.3
201703,55.5,2.8
201704,55.8,3.1
201705,56.0,3.3
201706,55.7,3.0
201707,55.6,2.9
201708,55.1,2.4
201709,54.7,2.0
201710,54.6,1.9
201711,54.4,1.7
201712,54.3,1.6
201801,53.3,0.6
201802,53.4,0.7
201803,53.1,0.4
201804,52.3,-0.4
201805,52.8,0.1
201806,53.1,0.4
201807,53.1,0.4
201808,53.2,0.5
201809,53.8,1.1
201810,53.7,1.0
201811,53.4,0.7
201812,53.6,0.9
201901,54.2,1.5
201902,53.9,1.2
201903,54.1,1.4
201904,54.7,2.0
201905,54.5,1.8
201906,54.3,1.6
201907,54.3,1.6
201908,54.3,1.6
201909,54.3,1.6
201910,54.5,1.8
201911,54.5,1.8
201912,54.8,2.1
202001,55.1,2.4
202002,54.9,2.2
202003,55.4,2.7
202004,55.0,2.3
202005,54.4,1.7
202006,54.4,1.7
202007,54.6,1.9
202008,54.6,1.9
202009,54.1,1.4
202010,54.0,1.3
202011,54.6,1.9
202012,54.1,1.4
202101,53.7,1.0
202102,53.4,0.7
202103,53.2,0.5
202104,53.3,0.6
202105,53.3,0.6
202106,53.4,0.7
202107,53.2,0.5
202108,53.3,0.6
202109,53.2,0.5
202110,53.3,0.6
202111,52.8,0.1
202112,53.6,0.9
202201,53.2,0.5
202202,53.5,0.8
202203,53.4,0.7
202204,53.5,0.8
202205,53.9,1.2
202206,53.9,1.2
202207,54.1,1.4
202208,54.0,1.3
202209,53.9,1.2
202210,53.3,0.6
202211,53.7,1.0
202212,53.1,0.4
